system   D            wsystem.c:583  maybe_parent_dir                 [   0.00082] Also searching C:\Users\Bruno\Documents\GitHub\ImunoForce\Pacheco\
display  D   display_settings.c:377  _al_score_display_settings       [   0.17900] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17901] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17903] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17905] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17907] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17908] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17911] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17912] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17914] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17916] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17917] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17919] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17921] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17922] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.17924] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.17926] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17928] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17929] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17931] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17933] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17935] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17936] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17938] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17940] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17941] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17943] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17945] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17946] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17948] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17950] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17952] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17953] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17955] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17957] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17958] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17960] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17962] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17964] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17966] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17967] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17969] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17970] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17972] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17974] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
